2015-03-12 19:13:07,897 - id: 6828
2015-03-16 23:07:25,551 | 13223 | 6835 | false
2015-03-16 23:07:26,435 | 13223 | 6834 | false
2015-03-16 23:07:27,532 | 13223 | 6835 | false
2015-03-16 23:27:31,540 | 13223 | 6899 | true
2015-03-16 23:27:38,964 | 13223 | 6893 | false
2015-08-17 21:35:29,325 | 13223 | 7049 | false
2015-08-17 21:35:56,975 | 13223 | 7049 | false
2015-08-17 21:36:03,145 | 13223 | 7049 | false
2015-08-17 21:36:31,441 | 13223 | 7046 | false
2015-08-17 21:37:44,456 | 13223 | 7049 | false
2015-08-17 21:39:23,101 | 13223 | 7049 | false
2015-08-17 21:39:38,668 | 13223 | 7046 | false
2015-08-17 21:39:39,769 | 13223 | 7041 | false
2015-08-17 21:39:41,782 | 13223 | 7053 | false
2015-08-17 22:00:14,081 | 13223 | 70561 | false
2015-08-17 22:00:15,638 | 13223 | 7056 | false
2015-08-17 22:00:17,105 | 13223 | 7100 | false
2015-08-17 22:00:19,331 | 13223 | 7055 | false
2015-08-17 22:00:20,608 | 13223 | 7054 | false
2015-08-17 22:00:23,897 | 13223 | 7056 | false
2015-08-17 22:00:25,182 | 13223 | 7101 | false
2015-08-17 22:00:26,092 | 13223 | 7057 | false
2015-08-17 22:12:33,244 | 13223 | 7075 | false
2015-08-17 22:12:34,410 | 13223 | 7076 | false
2015-08-17 22:12:35,445 | 13223 | 7077 | false
2015-08-17 22:12:36,917 | 13223 | 7078 | false
2015-08-17 22:12:38,394 | 13223 | 7073 | false
2015-08-17 22:12:39,689 | 13223 | 7096 | false
2015-08-17 22:12:41,047 | 13223 | 7094 | false
2015-08-17 22:12:47,661 | 13223 | 7064 | false
2015-08-17 22:12:48,942 | 13223 | 7070 | false
2015-08-17 22:12:50,193 | 13223 | 7071 | false
2015-08-17 22:12:51,336 | 13223 | 7072 | false
2015-08-17 22:12:56,378 | 13223 | 7058 | false
2015-08-17 22:12:57,701 | 13223 | 7059 | false
2015-08-17 22:12:58,805 | 13223 | 7060 | false
2015-08-17 22:13:00,017 | 13223 | 7061 | false
2015-08-17 22:13:01,286 | 13223 | 7062 | false
2015-08-17 22:13:02,348 | 13223 | 7098 | false
2015-08-17 22:25:13,116 | 13223 | 7000 | false
2015-08-17 22:25:15,636 | 13223 | 7081 | false
2015-08-17 22:25:17,130 | 13223 | 7082 | false
2015-08-17 22:25:18,204 | 13223 | 7083 | false
2015-08-17 22:25:19,506 | 13223 | 7084 | false
2015-08-17 22:25:20,845 | 13223 | 7085 | false
2015-08-17 22:31:03,891 | 13223 | 7086 | false
2015-08-17 22:31:04,996 | 13223 | 7087 | false
2015-08-17 22:31:06,158 | 13223 | 7089 | false
2015-08-17 22:31:07,305 | 13223 | 7091 | false
2015-08-18 00:54:30,815 | 13223 | 7027 | false
2015-08-18 00:54:32,188 | 13223 | 7028 | false
2015-08-18 00:54:33,840 | 13223 | 7029 | false
2015-08-18 00:54:35,421 | 13223 | 7030 | false
2015-08-18 00:54:36,756 | 13223 | 7031 | false
2015-08-18 19:58:54,605 | 13223 | 7080 | false
2015-08-18 19:58:56,198 | 13223 | 7081 | false
2015-08-18 19:58:57,919 | 13223 | 7082 | false
2015-08-18 19:58:58,799 | 13223 | 7083 | false
2015-08-18 19:58:59,500 | 13223 | 7084 | false
